palindrome length:5
[2019-05-03 11:38] Train Step 0000/2000, Batch Size = 128,                 Examples/Sec = 20040.72, Accuracy = 0.09, Loss = 5.456
[2019-05-03 11:38] Train Step 0860/2000, Batch Size = 128,                 Examples/Sec = 29807.95, Accuracy = 1.00, Loss = 0.016
[2019-05-03 11:38] Train Step 0870/2000, Batch Size = 128,                 Examples/Sec = 31658.86, Accuracy = 0.74, Loss = 0.623
[2019-05-03 11:38] Train Step 0880/2000, Batch Size = 128,                 Examples/Sec = 27882.16, Accuracy = 0.90, Loss = 0.230
[2019-05-03 11:38] Train Step 0890/2000, Batch Size = 128,                 Examples/Sec = 37112.60, Accuracy = 1.00, Loss = 0.111
[2019-05-03 11:38] Train Step 0900/2000, Batch Size = 128,                 Examples/Sec = 31699.98, Accuracy = 0.75, Loss = 0.394
[2019-05-03 11:38] Train Step 0910/2000, Batch Size = 128,                 Examples/Sec = 29741.89, Accuracy = 0.84, Loss = 0.252
[2019-05-03 11:38] Train Step 0920/2000, Batch Size = 128,                 Examples/Sec = 31040.18, Accuracy = 0.95, Loss = 0.170
[2019-05-03 11:38] Train Step 0930/2000, Batch Size = 128,                 Examples/Sec = 31110.33, Accuracy = 1.00, Loss = 0.025
[2019-05-03 11:38] Train Step 0940/2000, Batch Size = 128,                 Examples/Sec = 28642.28, Accuracy = 1.00, Loss = 0.017
[2019-05-03 11:38] Train Step 0950/2000, Batch Size = 128,                 Examples/Sec = 34712.98, Accuracy = 1.00, Loss = 0.015
[2019-05-03 11:38] Train Step 0960/2000, Batch Size = 128,                 Examples/Sec = 39102.03, Accuracy = 1.00, Loss = 0.014
[2019-05-03 11:38] Train Step 0970/2000, Batch Size = 128,                 Examples/Sec = 36845.17, Accuracy = 1.00, Loss = 0.013
[2019-05-03 11:38] Train Step 0980/2000, Batch Size = 128,                 Examples/Sec = 31406.98, Accuracy = 1.00, Loss = 0.010
[2019-05-03 11:38] Train Step 0990/2000, Batch Size = 128,                 Examples/Sec = 31662.59, Accuracy = 1.00, Loss = 0.010
[2019-05-03 11:38] Train Step 1000/2000, Batch Size = 128,                 Examples/Sec = 30173.15, Accuracy = 1.00, Loss = 0.010
[2019-05-03 11:38] Train Step 1010/2000, Batch Size = 128,                 Examples/Sec = 39996.34, Accuracy = 1.00, Loss = 0.011
[2019-05-03 11:38] Train Step 1020/2000, Batch Size = 128,                 Examples/Sec = 31839.10, Accuracy = 1.00, Loss = 0.009
[2019-05-03 11:38] Train Step 1030/2000, Batch Size = 128,                 Examples/Sec = 31370.28, Accuracy = 1.00, Loss = 0.009
[2019-05-03 11:38] Train Step 1040/2000, Batch Size = 128,                 Examples/Sec = 30701.14, Accuracy = 1.00, Loss = 0.009
[2019-05-03 11:38] Train Step 1050/2000, Batch Size = 128,                 Examples/Sec = 31151.85, Accuracy = 1.00, Loss = 0.009
[2019-05-03 11:38] Train Step 1060/2000, Batch Size = 128,                 Examples/Sec = 31054.54, Accuracy = 1.00, Loss = 0.008
[2019-05-03 11:38] Train Step 1070/2000, Batch Size = 128,                 Examples/Sec = 38679.46, Accuracy = 1.00, Loss = 0.007
[2019-05-03 11:38] Train Step 1080/2000, Batch Size = 128,                 Examples/Sec = 32283.28, Accuracy = 1.00, Loss = 0.008
[2019-05-03 11:38] Train Step 1090/2000, Batch Size = 128,                 Examples/Sec = 39403.37, Accuracy = 1.00, Loss = 0.006
[2019-05-03 11:38] Train Step 1100/2000, Batch Size = 128,                 Examples/Sec = 31943.29, Accuracy = 1.00, Loss = 0.006
[2019-05-03 11:38] Train Step 1110/2000, Batch Size = 128,                 Examples/Sec = 32585.03, Accuracy = 1.00, Loss = 0.006
[2019-05-03 11:38] Train Step 1120/2000, Batch Size = 128,                 Examples/Sec = 35014.08, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:38] Train Step 1130/2000, Batch Size = 128,                 Examples/Sec = 38869.89, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:38] Train Step 1140/2000, Batch Size = 128,                 Examples/Sec = 39577.66, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:38] Train Step 1150/2000, Batch Size = 128,                 Examples/Sec = 31278.89, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:38] Train Step 1160/2000, Batch Size = 128,                 Examples/Sec = 32504.14, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:38] Train Step 1170/2000, Batch Size = 128,                 Examples/Sec = 30505.76, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:38] Train Step 1180/2000, Batch Size = 128,                 Examples/Sec = 29249.30, Accuracy = 1.00, Loss = 0.004
[2019-05-03 11:38] Train Step 1190/2000, Batch Size = 128,                 Examples/Sec = 35846.36, Accuracy = 1.00, Loss = 0.004
[2019-05-03 11:38] Train Step 1200/2000, Batch Size = 128,                 Examples/Sec = 31375.78, Accuracy = 1.00, Loss = 0.004
[2019-05-03 11:38] Train Step 1210/2000, Batch Size = 128,                 Examples/Sec = 32734.04, Accuracy = 1.00, Loss = 0.004
[2019-05-03 11:38] Train Step 1220/2000, Batch Size = 128,                 Examples/Sec = 30115.61, Accuracy = 1.00, Loss = 0.004
[2019-05-03 11:38] Train Step 1230/2000, Batch Size = 128,                 Examples/Sec = 36348.74, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:38] Train Step 1240/2000, Batch Size = 128,                 Examples/Sec = 30571.77, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:38] Train Step 1250/2000, Batch Size = 128,                 Examples/Sec = 30481.51, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:38] Train Step 1260/2000, Batch Size = 128,                 Examples/Sec = 30433.13, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:38] Train Step 1270/2000, Batch Size = 128,                 Examples/Sec = 34454.56, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:38] Train Step 1280/2000, Batch Size = 128,                 Examples/Sec = 37451.76, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:38] Train Step 1290/2000, Batch Size = 128,                 Examples/Sec = 38019.33, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1300/2000, Batch Size = 128,                 Examples/Sec = 29959.31, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:38] Train Step 1310/2000, Batch Size = 128,                 Examples/Sec = 31489.88, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1320/2000, Batch Size = 128,                 Examples/Sec = 35490.90, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1330/2000, Batch Size = 128,                 Examples/Sec = 33009.77, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1340/2000, Batch Size = 128,                 Examples/Sec = 28944.95, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1350/2000, Batch Size = 128,                 Examples/Sec = 31525.01, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1360/2000, Batch Size = 128,                 Examples/Sec = 30229.22, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1370/2000, Batch Size = 128,                 Examples/Sec = 37344.94, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1380/2000, Batch Size = 128,                 Examples/Sec = 39005.44, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:38] Train Step 1390/2000, Batch Size = 128,                 Examples/Sec = 32069.23, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1400/2000, Batch Size = 128,                 Examples/Sec = 31863.67, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1410/2000, Batch Size = 128,                 Examples/Sec = 30168.07, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1420/2000, Batch Size = 128,                 Examples/Sec = 38712.93, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1430/2000, Batch Size = 128,                 Examples/Sec = 38679.46, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1440/2000, Batch Size = 128,                 Examples/Sec = 31968.02, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1450/2000, Batch Size = 128,                 Examples/Sec = 31703.73, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1460/2000, Batch Size = 128,                 Examples/Sec = 32904.57, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1470/2000, Batch Size = 128,                 Examples/Sec = 31390.45, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1480/2000, Batch Size = 128,                 Examples/Sec = 30923.96, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1490/2000, Batch Size = 128,                 Examples/Sec = 29814.57, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1500/2000, Batch Size = 128,                 Examples/Sec = 28910.66, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1510/2000, Batch Size = 128,                 Examples/Sec = 30736.30, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1520/2000, Batch Size = 128,                 Examples/Sec = 31361.11, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1530/2000, Batch Size = 128,                 Examples/Sec = 28677.47, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1540/2000, Batch Size = 128,                 Examples/Sec = 31929.99, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1550/2000, Batch Size = 128,                 Examples/Sec = 32368.92, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1560/2000, Batch Size = 128,                 Examples/Sec = 29543.85, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1570/2000, Batch Size = 128,                 Examples/Sec = 38923.43, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1580/2000, Batch Size = 128,                 Examples/Sec = 39706.45, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1590/2000, Batch Size = 128,                 Examples/Sec = 29361.27, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1600/2000, Batch Size = 128,                 Examples/Sec = 29902.58, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:38] Train Step 1610/2000, Batch Size = 128,                 Examples/Sec = 30615.36, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1620/2000, Batch Size = 128,                 Examples/Sec = 35197.73, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1630/2000, Batch Size = 128,                 Examples/Sec = 30453.85, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1640/2000, Batch Size = 128,                 Examples/Sec = 29364.49, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1650/2000, Batch Size = 128,                 Examples/Sec = 30826.30, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1660/2000, Batch Size = 128,                 Examples/Sec = 32042.43, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1670/2000, Batch Size = 128,                 Examples/Sec = 23292.59, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1680/2000, Batch Size = 128,                 Examples/Sec = 28662.16, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1690/2000, Batch Size = 128,                 Examples/Sec = 29513.00, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1700/2000, Batch Size = 128,                 Examples/Sec = 29930.92, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1710/2000, Batch Size = 128,                 Examples/Sec = 31780.67, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1720/2000, Batch Size = 128,                 Examples/Sec = 28777.39, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1730/2000, Batch Size = 128,                 Examples/Sec = 30566.55, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1740/2000, Batch Size = 128,                 Examples/Sec = 38668.32, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1750/2000, Batch Size = 128,                 Examples/Sec = 31513.91, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1760/2000, Batch Size = 128,                 Examples/Sec = 39059.36, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1770/2000, Batch Size = 128,                 Examples/Sec = 37871.82, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1780/2000, Batch Size = 128,                 Examples/Sec = 32082.64, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1790/2000, Batch Size = 128,                 Examples/Sec = 29861.00, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1800/2000, Batch Size = 128,                 Examples/Sec = 29511.37, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1810/2000, Batch Size = 128,                 Examples/Sec = 26950.00, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1820/2000, Batch Size = 128,                 Examples/Sec = 38833.34, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1830/2000, Batch Size = 128,                 Examples/Sec = 29241.34, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1840/2000, Batch Size = 128,                 Examples/Sec = 30856.42, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1850/2000, Batch Size = 128,                 Examples/Sec = 33107.48, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1860/2000, Batch Size = 128,                 Examples/Sec = 29715.55, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1870/2000, Batch Size = 128,                 Examples/Sec = 38632.14, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1880/2000, Batch Size = 128,                 Examples/Sec = 38601.59, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1890/2000, Batch Size = 128,                 Examples/Sec = 32053.91, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1900/2000, Batch Size = 128,                 Examples/Sec = 37928.01, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1910/2000, Batch Size = 128,                 Examples/Sec = 32788.01, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1920/2000, Batch Size = 128,                 Examples/Sec = 30161.29, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1930/2000, Batch Size = 128,                 Examples/Sec = 30886.60, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1940/2000, Batch Size = 128,                 Examples/Sec = 35050.66, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1950/2000, Batch Size = 128,                 Examples/Sec = 19840.75, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1960/2000, Batch Size = 128,                 Examples/Sec = 29689.26, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1970/2000, Batch Size = 128,                 Examples/Sec = 20461.58, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1980/2000, Batch Size = 128,                 Examples/Sec = 33298.45, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 1990/2000, Batch Size = 128,                 Examples/Sec = 32419.74, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:38] Train Step 2000/2000, Batch Size = 128,                 Examples/Sec = 37135.71, Accuracy = 0.36, Loss = 5.449
