palindrome length:11
[2019-05-03 11:35] Train Step 0000/2000, Batch Size = 128,                 Examples/Sec = 12862.26, Accuracy = 0.09, Loss = 6.532
[2019-05-03 11:35] Train Step 0480/2000, Batch Size = 128,                 Examples/Sec = 18164.53, Accuracy = 0.88, Loss = 0.355
[2019-05-03 11:35] Train Step 0490/2000, Batch Size = 128,                 Examples/Sec = 18486.65, Accuracy = 0.84, Loss = 0.436
[2019-05-03 11:35] Train Step 0500/2000, Batch Size = 128,                 Examples/Sec = 16544.56, Accuracy = 0.79, Loss = 0.477
[2019-05-03 11:35] Train Step 0510/2000, Batch Size = 128,                 Examples/Sec = 17520.18, Accuracy = 0.78, Loss = 0.421
[2019-05-03 11:35] Train Step 0520/2000, Batch Size = 128,                 Examples/Sec = 21298.49, Accuracy = 0.68, Loss = 0.491
[2019-05-03 11:35] Train Step 0530/2000, Batch Size = 128,                 Examples/Sec = 22683.41, Accuracy = 0.79, Loss = 0.391
[2019-05-03 11:35] Train Step 0540/2000, Batch Size = 128,                 Examples/Sec = 22984.46, Accuracy = 0.77, Loss = 0.495
[2019-05-03 11:35] Train Step 0550/2000, Batch Size = 128,                 Examples/Sec = 18249.74, Accuracy = 0.89, Loss = 0.401
[2019-05-03 11:35] Train Step 0560/2000, Batch Size = 128,                 Examples/Sec = 18368.38, Accuracy = 0.78, Loss = 0.432
[2019-05-03 11:35] Train Step 0570/2000, Batch Size = 128,                 Examples/Sec = 18484.11, Accuracy = 0.78, Loss = 0.373
[2019-05-03 11:35] Train Step 0580/2000, Batch Size = 128,                 Examples/Sec = 20809.76, Accuracy = 0.78, Loss = 0.381
[2019-05-03 11:35] Train Step 0590/2000, Batch Size = 128,                 Examples/Sec = 20043.72, Accuracy = 0.88, Loss = 0.291
[2019-05-03 11:35] Train Step 0600/2000, Batch Size = 128,                 Examples/Sec = 20757.46, Accuracy = 0.92, Loss = 0.315
[2019-05-03 11:35] Train Step 0610/2000, Batch Size = 128,                 Examples/Sec = 19616.74, Accuracy = 0.72, Loss = 0.437
[2019-05-03 11:35] Train Step 0620/2000, Batch Size = 128,                 Examples/Sec = 19169.85, Accuracy = 0.84, Loss = 0.291
[2019-05-03 11:35] Train Step 0630/2000, Batch Size = 128,                 Examples/Sec = 18874.00, Accuracy = 0.83, Loss = 0.327
[2019-05-03 11:35] Train Step 0640/2000, Batch Size = 128,                 Examples/Sec = 18738.30, Accuracy = 0.88, Loss = 0.326
[2019-05-03 11:35] Train Step 0650/2000, Batch Size = 128,                 Examples/Sec = 22024.57, Accuracy = 0.83, Loss = 0.406
[2019-05-03 11:35] Train Step 0660/2000, Batch Size = 128,                 Examples/Sec = 18090.47, Accuracy = 0.97, Loss = 0.166
[2019-05-03 11:35] Train Step 0670/2000, Batch Size = 128,                 Examples/Sec = 21280.76, Accuracy = 0.89, Loss = 0.302
[2019-05-03 11:35] Train Step 0680/2000, Batch Size = 128,                 Examples/Sec = 22500.88, Accuracy = 0.79, Loss = 0.528
[2019-05-03 11:35] Train Step 0690/2000, Batch Size = 128,                 Examples/Sec = 18164.53, Accuracy = 0.93, Loss = 0.224
[2019-05-03 11:35] Train Step 0700/2000, Batch Size = 128,                 Examples/Sec = 16409.54, Accuracy = 0.92, Loss = 0.178
[2019-05-03 11:35] Train Step 0710/2000, Batch Size = 128,                 Examples/Sec = 17596.56, Accuracy = 0.80, Loss = 0.407
[2019-05-03 11:35] Train Step 0720/2000, Batch Size = 128,                 Examples/Sec = 21942.65, Accuracy = 0.91, Loss = 0.227
[2019-05-03 11:35] Train Step 0730/2000, Batch Size = 128,                 Examples/Sec = 21547.24, Accuracy = 0.95, Loss = 0.169
[2019-05-03 11:35] Train Step 0740/2000, Batch Size = 128,                 Examples/Sec = 22385.48, Accuracy = 0.99, Loss = 0.138
[2019-05-03 11:35] Train Step 0750/2000, Batch Size = 128,                 Examples/Sec = 17383.46, Accuracy = 0.80, Loss = 0.360
[2019-05-03 11:35] Train Step 0760/2000, Batch Size = 128,                 Examples/Sec = 17080.94, Accuracy = 0.92, Loss = 0.155
[2019-05-03 11:35] Train Step 0770/2000, Batch Size = 128,                 Examples/Sec = 18718.04, Accuracy = 0.86, Loss = 0.242
[2019-05-03 11:35] Train Step 0780/2000, Batch Size = 128,                 Examples/Sec = 18456.15, Accuracy = 0.91, Loss = 0.139
[2019-05-03 11:35] Train Step 0790/2000, Batch Size = 128,                 Examples/Sec = 18404.27, Accuracy = 0.90, Loss = 0.223
[2019-05-03 11:35] Train Step 0800/2000, Batch Size = 128,                 Examples/Sec = 20290.67, Accuracy = 0.90, Loss = 0.179
[2019-05-03 11:35] Train Step 0810/2000, Batch Size = 128,                 Examples/Sec = 19943.20, Accuracy = 0.88, Loss = 0.240
[2019-05-03 11:35] Train Step 0820/2000, Batch Size = 128,                 Examples/Sec = 18536.44, Accuracy = 0.74, Loss = 0.939
[2019-05-03 11:35] Train Step 0830/2000, Batch Size = 128,                 Examples/Sec = 17651.52, Accuracy = 0.81, Loss = 0.320
[2019-05-03 11:35] Train Step 0840/2000, Batch Size = 128,                 Examples/Sec = 20879.36, Accuracy = 0.87, Loss = 0.216
[2019-05-03 11:35] Train Step 0850/2000, Batch Size = 128,                 Examples/Sec = 18279.57, Accuracy = 0.91, Loss = 0.176
[2019-05-03 11:35] Train Step 0860/2000, Batch Size = 128,                 Examples/Sec = 18863.39, Accuracy = 0.95, Loss = 0.145
[2019-05-03 11:35] Train Step 0870/2000, Batch Size = 128,                 Examples/Sec = 21819.59, Accuracy = 0.96, Loss = 0.144
[2019-05-03 11:35] Train Step 0880/2000, Batch Size = 128,                 Examples/Sec = 18624.54, Accuracy = 0.85, Loss = 0.315
[2019-05-03 11:35] Train Step 0890/2000, Batch Size = 128,                 Examples/Sec = 22122.59, Accuracy = 0.94, Loss = 0.152
[2019-05-03 11:35] Train Step 0900/2000, Batch Size = 128,                 Examples/Sec = 16100.98, Accuracy = 0.98, Loss = 0.091
[2019-05-03 11:35] Train Step 0910/2000, Batch Size = 128,                 Examples/Sec = 17326.24, Accuracy = 0.87, Loss = 0.168
[2019-05-03 11:35] Train Step 0920/2000, Batch Size = 128,                 Examples/Sec = 17979.00, Accuracy = 0.98, Loss = 0.131
[2019-05-03 11:35] Train Step 0930/2000, Batch Size = 128,                 Examples/Sec = 18520.45, Accuracy = 0.98, Loss = 0.085
[2019-05-03 11:35] Train Step 0940/2000, Batch Size = 128,                 Examples/Sec = 16144.55, Accuracy = 0.96, Loss = 0.102
[2019-05-03 11:35] Train Step 0950/2000, Batch Size = 128,                 Examples/Sec = 18110.61, Accuracy = 0.90, Loss = 0.169
[2019-05-03 11:35] Train Step 0960/2000, Batch Size = 128,                 Examples/Sec = 18404.27, Accuracy = 0.99, Loss = 0.041
[2019-05-03 11:35] Train Step 0970/2000, Batch Size = 128,                 Examples/Sec = 20082.70, Accuracy = 1.00, Loss = 0.017
[2019-05-03 11:35] Train Step 0980/2000, Batch Size = 128,                 Examples/Sec = 19730.65, Accuracy = 1.00, Loss = 0.014
[2019-05-03 11:35] Train Step 0990/2000, Batch Size = 128,                 Examples/Sec = 18400.48, Accuracy = 1.00, Loss = 0.013
[2019-05-03 11:35] Train Step 1000/2000, Batch Size = 128,                 Examples/Sec = 16390.00, Accuracy = 1.00, Loss = 0.012
[2019-05-03 11:35] Train Step 1010/2000, Batch Size = 128,                 Examples/Sec = 18649.12, Accuracy = 1.00, Loss = 0.011
[2019-05-03 11:35] Train Step 1020/2000, Batch Size = 128,                 Examples/Sec = 18792.08, Accuracy = 1.00, Loss = 0.010
[2019-05-03 11:35] Train Step 1030/2000, Batch Size = 128,                 Examples/Sec = 17832.69, Accuracy = 1.00, Loss = 0.009
[2019-05-03 11:35] Train Step 1040/2000, Batch Size = 128,                 Examples/Sec = 17180.42, Accuracy = 1.00, Loss = 0.009
[2019-05-03 11:35] Train Step 1050/2000, Batch Size = 128,                 Examples/Sec = 20212.75, Accuracy = 1.00, Loss = 0.008
[2019-05-03 11:35] Train Step 1060/2000, Batch Size = 128,                 Examples/Sec = 22532.99, Accuracy = 1.00, Loss = 0.007
[2019-05-03 11:35] Train Step 1070/2000, Batch Size = 128,                 Examples/Sec = 18818.43, Accuracy = 1.00, Loss = 0.008
[2019-05-03 11:35] Train Step 1080/2000, Batch Size = 128,                 Examples/Sec = 18443.47, Accuracy = 1.00, Loss = 0.007
[2019-05-03 11:35] Train Step 1090/2000, Batch Size = 128,                 Examples/Sec = 21116.70, Accuracy = 1.00, Loss = 0.006
[2019-05-03 11:35] Train Step 1100/2000, Batch Size = 128,                 Examples/Sec = 18475.20, Accuracy = 1.00, Loss = 0.006
[2019-05-03 11:35] Train Step 1110/2000, Batch Size = 128,                 Examples/Sec = 21928.31, Accuracy = 1.00, Loss = 0.006
[2019-05-03 11:35] Train Step 1120/2000, Batch Size = 128,                 Examples/Sec = 20078.95, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:35] Train Step 1130/2000, Batch Size = 128,                 Examples/Sec = 18528.76, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:35] Train Step 1140/2000, Batch Size = 128,                 Examples/Sec = 23215.04, Accuracy = 1.00, Loss = 0.005
[2019-05-03 11:35] Train Step 1150/2000, Batch Size = 128,                 Examples/Sec = 21634.06, Accuracy = 1.00, Loss = 0.004
[2019-05-03 11:35] Train Step 1160/2000, Batch Size = 128,                 Examples/Sec = 20237.13, Accuracy = 1.00, Loss = 0.004
[2019-05-03 11:35] Train Step 1170/2000, Batch Size = 128,                 Examples/Sec = 16370.01, Accuracy = 1.00, Loss = 0.004
[2019-05-03 11:35] Train Step 1180/2000, Batch Size = 128,                 Examples/Sec = 17078.76, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:35] Train Step 1190/2000, Batch Size = 128,                 Examples/Sec = 21539.45, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:35] Train Step 1200/2000, Batch Size = 128,                 Examples/Sec = 22487.68, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:35] Train Step 1210/2000, Batch Size = 128,                 Examples/Sec = 17264.95, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:35] Train Step 1220/2000, Batch Size = 128,                 Examples/Sec = 19057.57, Accuracy = 1.00, Loss = 0.003
[2019-05-03 11:35] Train Step 1230/2000, Batch Size = 128,                 Examples/Sec = 18785.50, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1240/2000, Batch Size = 128,                 Examples/Sec = 22886.47, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1250/2000, Batch Size = 128,                 Examples/Sec = 16548.64, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1260/2000, Batch Size = 128,                 Examples/Sec = 17710.91, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1270/2000, Batch Size = 128,                 Examples/Sec = 18615.50, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1280/2000, Batch Size = 128,                 Examples/Sec = 20907.82, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1290/2000, Batch Size = 128,                 Examples/Sec = 18736.99, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1300/2000, Batch Size = 128,                 Examples/Sec = 16345.09, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1310/2000, Batch Size = 128,                 Examples/Sec = 18186.68, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1320/2000, Batch Size = 128,                 Examples/Sec = 19793.94, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1330/2000, Batch Size = 128,                 Examples/Sec = 21898.80, Accuracy = 1.00, Loss = 0.002
[2019-05-03 11:35] Train Step 1340/2000, Batch Size = 128,                 Examples/Sec = 16073.02, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1350/2000, Batch Size = 128,                 Examples/Sec = 18993.52, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1360/2000, Batch Size = 128,                 Examples/Sec = 17906.44, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1370/2000, Batch Size = 128,                 Examples/Sec = 17892.71, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1380/2000, Batch Size = 128,                 Examples/Sec = 19978.08, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1390/2000, Batch Size = 128,                 Examples/Sec = 17933.96, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1400/2000, Batch Size = 128,                 Examples/Sec = 17886.16, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1410/2000, Batch Size = 128,                 Examples/Sec = 22783.52, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1420/2000, Batch Size = 128,                 Examples/Sec = 16311.82, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1430/2000, Batch Size = 128,                 Examples/Sec = 16410.54, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1440/2000, Batch Size = 128,                 Examples/Sec = 16370.51, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1450/2000, Batch Size = 128,                 Examples/Sec = 18396.07, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1460/2000, Batch Size = 128,                 Examples/Sec = 21434.54, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1470/2000, Batch Size = 128,                 Examples/Sec = 18416.90, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1480/2000, Batch Size = 128,                 Examples/Sec = 18516.62, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1490/2000, Batch Size = 128,                 Examples/Sec = 18097.79, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1500/2000, Batch Size = 128,                 Examples/Sec = 21750.63, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1510/2000, Batch Size = 128,                 Examples/Sec = 21711.05, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1520/2000, Batch Size = 128,                 Examples/Sec = 21910.42, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1530/2000, Batch Size = 128,                 Examples/Sec = 19219.95, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1540/2000, Batch Size = 128,                 Examples/Sec = 18492.38, Accuracy = 1.00, Loss = 0.001
[2019-05-03 11:35] Train Step 1550/2000, Batch Size = 128,                 Examples/Sec = 20231.03, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1560/2000, Batch Size = 128,                 Examples/Sec = 18526.84, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1570/2000, Batch Size = 128,                 Examples/Sec = 18420.05, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1580/2000, Batch Size = 128,                 Examples/Sec = 18222.49, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1590/2000, Batch Size = 128,                 Examples/Sec = 17598.86, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1600/2000, Batch Size = 128,                 Examples/Sec = 18069.16, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1610/2000, Batch Size = 128,                 Examples/Sec = 22470.74, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1620/2000, Batch Size = 128,                 Examples/Sec = 18673.12, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1630/2000, Batch Size = 128,                 Examples/Sec = 21427.70, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1640/2000, Batch Size = 128,                 Examples/Sec = 22669.04, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1650/2000, Batch Size = 128,                 Examples/Sec = 19000.92, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1660/2000, Batch Size = 128,                 Examples/Sec = 22846.54, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1670/2000, Batch Size = 128,                 Examples/Sec = 22951.05, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1680/2000, Batch Size = 128,                 Examples/Sec = 20241.71, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1690/2000, Batch Size = 128,                 Examples/Sec = 18663.38, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1700/2000, Batch Size = 128,                 Examples/Sec = 18540.92, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1710/2000, Batch Size = 128,                 Examples/Sec = 18600.66, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1720/2000, Batch Size = 128,                 Examples/Sec = 20616.37, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1730/2000, Batch Size = 128,                 Examples/Sec = 15898.34, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1740/2000, Batch Size = 128,                 Examples/Sec = 19159.59, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1750/2000, Batch Size = 128,                 Examples/Sec = 16201.55, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1760/2000, Batch Size = 128,                 Examples/Sec = 17802.53, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1770/2000, Batch Size = 128,                 Examples/Sec = 19566.69, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1780/2000, Batch Size = 128,                 Examples/Sec = 18633.59, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1790/2000, Batch Size = 128,                 Examples/Sec = 22628.91, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1800/2000, Batch Size = 128,                 Examples/Sec = 22729.51, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1810/2000, Batch Size = 128,                 Examples/Sec = 21755.04, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1820/2000, Batch Size = 128,                 Examples/Sec = 18635.53, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1830/2000, Batch Size = 128,                 Examples/Sec = 16513.52, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1840/2000, Batch Size = 128,                 Examples/Sec = 19484.32, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1850/2000, Batch Size = 128,                 Examples/Sec = 20305.25, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1860/2000, Batch Size = 128,                 Examples/Sec = 16308.35, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1870/2000, Batch Size = 128,                 Examples/Sec = 18675.07, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1880/2000, Batch Size = 128,                 Examples/Sec = 18397.96, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1890/2000, Batch Size = 128,                 Examples/Sec = 19435.65, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1900/2000, Batch Size = 128,                 Examples/Sec = 18594.22, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1910/2000, Batch Size = 128,                 Examples/Sec = 21865.80, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1920/2000, Batch Size = 128,                 Examples/Sec = 19623.19, Accuracy = 1.00, Loss = 0.000
[2019-05-03 11:35] Train Step 1930/2000, Batch Size = 128,                 Examples/Sec = 17941.75, Accuracy = 0.28, Loss = 3.960
[2019-05-03 11:35] Train Step 1940/2000, Batch Size = 128,                 Examples/Sec = 17927.97, Accuracy = 0.20, Loss = 2.174
[2019-05-03 11:35] Train Step 1950/2000, Batch Size = 128,                 Examples/Sec = 16355.05, Accuracy = 0.57, Loss = 0.991
[2019-05-03 11:35] Train Step 1960/2000, Batch Size = 128,                 Examples/Sec = 21400.36, Accuracy = 0.46, Loss = 0.960
[2019-05-03 11:35] Train Step 1970/2000, Batch Size = 128,                 Examples/Sec = 19639.70, Accuracy = 0.57, Loss = 0.674
[2019-05-03 11:35] Train Step 1980/2000, Batch Size = 128,                 Examples/Sec = 20076.70, Accuracy = 0.73, Loss = 0.559
[2019-05-03 11:35] Train Step 1990/2000, Batch Size = 128,                 Examples/Sec = 17678.84, Accuracy = 0.73, Loss = 0.486
[2019-05-03 11:35] Train Step 2000/2000, Batch Size = 128,                 Examples/Sec = 18214.45, Accuracy = 0.80, Loss = 0.524
